date_time,temp,rain_1h,snow_1h,clouds_all,traffic_volume,weather_description,holiday,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Squall,Thunderstorm
2012-10-02 09:00:00,288.28,0.0,0.0,40.0,5545.0,scattered clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 10:00:00,289.36,0.0,0.0,75.0,4516.0,broken clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 11:00:00,289.58,0.0,0.0,90.0,4767.0,overcast clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 12:00:00,290.13,0.0,0.0,90.0,5026.0,overcast clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 13:00:00,291.14,0.0,0.0,75.0,4918.0,broken clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 14:00:00,291.72,0.0,0.0,1.0,5181.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 15:00:00,293.17,0.0,0.0,1.0,5584.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 16:00:00,293.86,0.0,0.0,1.0,6015.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 17:00:00,294.14,0.0,0.0,20.0,5791.0,few clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 18:00:00,293.1,0.0,0.0,20.0,4770.0,few clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 19:00:00,290.97,0.0,0.0,20.0,3539.0,few clouds,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02 20:00:00,289.38,0.0,0.0,1.0,2784.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 21:00:00,288.61,0.0,0.0,1.0,2361.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 22:00:00,287.16,0.0,0.0,1.0,1529.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-02 23:00:00,285.45,0.0,0.0,1.0,963.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 00:00:00,284.63,0.0,0.0,1.0,506.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 01:00:00,283.47,0.0,0.0,1.0,321.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 02:00:00,281.18,0.0,0.0,1.0,273.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 03:00:00,281.09,0.0,0.0,1.0,367.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 04:00:00,279.53,0.0,0.0,1.0,814.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 05:00:00,278.62,0.0,0.0,1.0,2718.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 06:00:00,278.23,0.0,0.0,1.0,5673.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 08:00:00,278.12,0.0,0.0,1.0,6511.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 09:00:00,282.48,0.0,0.0,1.0,5471.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 12:00:00,291.97,0.0,0.0,1.0,5097.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 13:00:00,293.23,0.0,0.0,1.0,4887.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 14:00:00,294.31,0.0,0.0,1.0,5337.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
2012-10-03 15:00:00,295.17,0.0,0.0,1.0,5692.0,sky is clear,0,1,0,0,0,0,0,0,0,0,0,0
